"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"525","Dermatocarpon miniatum","(L.) W. Mann",NA,"leather lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes","Chaetothyriomycetidae",NA,"Verrucariales",NA,NA,"Verrucariaceae","",NA,"Dermatocarpon","native","S4 (2010)","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L10813",NA,"2016-04-23","Andrew Simon","http://www.inaturalist.org/observations/3031104","",154129,"LIC"
"526","Dermatocarpon reticulatum","H. Magn.",NA,"sandpaper stippleback","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes","Chaetothyriomycetidae",NA,"Verrucariales",NA,NA,"Verrucariaceae","",NA,"Dermatocarpon","native","S5 (2018)","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L10806",NA,"2016-06-28","Andrew Simon","http://www.inaturalist.org/observations/3542956","",218258,"LIC"
"527","Hydropunctaria maura","(Wahl.) Keller & Gueidan",NA,"wart lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes","Chaetothyriomycetidae",NA,"Verrucariales",NA,NA,"Verrucariaceae","",NA,"Hydropunctaria","native","unlisted","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L35924",NA,"2020-04-10","Andrew Simon","https://www.inaturalist.org/observations/41881729","Reported as Verrucaria maura",197141,"LIC"
"528","Normandina pulchella","(Borrer) Nyl.",NA,"elf-ear lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes","Chaetothyriomycetidae",NA,"Verrucariales",NA,NA,"Verrucariaceae","",NA,"Normandina","native","unlisted","reported","unobserved","1974-04","Willa J. Noble","UBC","L10927",NA,"","","","",117861,"LIC"
"529","Staurothele fissa","(Taylor) Zwackh.",NA,"lakezone lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes","Chaetothyriomycetidae",NA,"Verrucariales",NA,NA,"Verrucariaceae","",NA,"Staurothele","native","unlisted","reported","unobserved","1974-05","Willa J. Noble","UBC","L12444",NA,"","","","Previously reported as S. hazslinskyi",231483,"LIC"
"530","Collemopsidium halodytes s.lat.","(Nyl.) Grube & B.D. Ryan",NA,"barnacle lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Incertae sedis","",NA,"Incertae sedis",NA,NA,"Xanthopyreniaceae","",NA,"Collemopsidium","native","unlisted","reported","unobserved","1976-07-23","Willa J. Noble","UBC","L14859",NA,"","","","Reported as Arthopyrenia halodytes",462769,"LIC"
"531","Sarcogyne hypophaea","(Nyl.) Arnold",NA,"grain-spored lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Acarosporomycetidae",NA,"Acarosporales",NA,NA,"Acarosporaceae","",NA,"Sarcogyne","native","unlisted","reported","unobserved","1974-04-21","Willa J. Noble","UBC","L35645",NA,"","","","Reported as Sarcogyne privigna var. calcicola",532278,"LIC"
"532","Acolium inquinans","(Sm.) A. Massal.",NA,"cupped soot lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Acolium","native","unlisted","new 2017","observed","","","","",NA,"2017-06-16","Andrew Simon","https://www.inaturalist.org/observations/7503518","",636286,"LIC"
"533","Amandinea punctata","(Hoffm.) Coppins & Scheid.",NA,"tiny button lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Amandinea","native","unlisted","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L35871",NA,"2016-10-16","Andrew Simon","http://www.inaturalist.org/observations/4381611","Reported as Buellia punctata",155082,"LIC"
"534","Buellia fecunda ined.","",NA,"button lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Buellia","native","unlisted","reported","unobserved","1974-05-29","Willa J. Noble","UBC","L35905",NA,"","","","",NA,"LIC"
"535","Buellia fosteri","(Imshaug & Sheard) Perlmutter & Rivas Plata",NA,"whitewash lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Buellia","native","unlisted","new 2017","observed","","","","",NA,"2017-12-22","Andrew Simon","https://www.inaturalist.org/observations/9239094","",1027862,"LIC"
"536","Calicium viride","Pers.",NA,"green stubble lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Calicium","native","unlisted","confirmed","observed","1977-07-24","Willa J. Noble","UBC","L14869",NA,"2018-05-12","Andrew Simon","https://www.inaturalist.org/observations/12406796","",207863,"LIC"
"537","Diplotomma penichra","(Tuck.) Szat.",NA,"button lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Diplotomma","native","unlisted","reported","unobserved","1974-05-31","Willa J. Noble","UBC","L37603",NA,"","","","Reported as Buellia penichra",218550,"LIC"
"538","Thelomma mammosum","(Hepp) A.Massal.",NA,"rock nipple lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Caliciaceae","",NA,"Thelomma","native","unlisted","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L12450",NA,"2015-08-05","Andrew Simon","http://www.inaturalist.org/observations/2599843","",146938,"LIC"
"539","Phaeophyscia orbicularis","(Necker) Moberg.",NA,"powder-headed shadow","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Phaeophyscia","native","S4 (2010)","confirmed","observed","1974-05-29","Willa J. Noble","UBC","L35917",NA,"2019-04-29","Andrew Simon","https://www.inaturalist.org/observations/24768208","",60718,"LIC"
"540","Physcia adscendens","H. Olivier.",NA,"hooded rosette","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physcia","native","S5 (2010)","confirmed","observed","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"2016-08-14","Andrew Simon","http://www.inaturalist.org/observations/3948542","",124439,"LIC"
"541","Physcia alnophila","(Vainio) Loht., Moberg, L. Myllys & Tehler.",NA,"grey-eyed rosette","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physcia","native","S5 (2018)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36181",NA,"2017-02-16","Andrew Simon","https://www.inaturalist.org/observations/5121968","",463769,"LIC"
"542","Physcia caesia","(Hoffm.) Hampe ex Fürnr.",NA,"blue-grey rosette","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physcia","native","S4 (2010)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36192",NA,"2015-08-28","Andrew Simon","http://www.inaturalist.org/observations/2632612","",194681,"LIC"
"543","Physcia phaea","(Tuck.) J.W. Thomson",NA,"black-eyed rosette","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physcia","native","S4 (2019)","new 2020","observed","","","","",NA,"2020-11-10","Randal Mindell & Andrew Simon","https://www.inaturalist.org/observations/64809762","",154099,"LIC"
"544","Physcia tenella","(Scop.) DC.",NA,"hoodless rosette","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physcia","native","S5 (2018)","new 2016","observed","","","","",NA,"2016-10-04","Andrew Simon","http://www.inaturalist.org/observations/4282590","",228059,"LIC"
"545","Physconia enteroxantha","(Nyl.) Poelt.",NA,"gilded frost","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physconia","native","S3S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L35888",NA,"2017-03-30","Andrew Simon","https://www.inaturalist.org/observations/5526013","",228066,"LIC"
"546","Physconia perisidiosa","(Erichsen) Moberg.",NA,"crescent frost","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Physconia","native","S4 (2010)","confirmed","observed","1974-05-28","Willa J. Noble","UBC","L35902",NA,"2017-03-30","Andrew Simon","https://www.inaturalist.org/observations/5526016","",203896,"LIC"
"547","Rinodina bolanderi","H. Magn.",NA,"creamy pepper-spore lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Rinodina","native","unlisted","confirmed","observed","1974-05-30","Willa J. Noble","UBC","L48880",NA,"2017-05-18","Andrew Simon","https://www.inaturalist.org/observations/22597101","",230206,"LIC"
"548","Rinodina gennarii","Bagl.",NA,"pepper-spore lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Rinodina","native","unlisted","reported","unobserved","1974-05-29","Willa J. Noble","UBC","L36905",NA,"","","","",230233,"LIC"
"549","Rinodina hallii","Tuck.",NA,"pepper-spore lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Rinodina","native","unlisted","reported","unobserved","2010-01-26","Terry McIntosh & Curtis Björk","Bryos and Lichens of Mt Sutil Inventory 2010","",NA,"","","","",230239,"LIC"
"550","Rinodina laevigata","(Ach.) Malme",NA,"pepper-spore lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Rinodina","native","unlisted","reported","unobserved","1974-05-29","Willa J. Noble","UBC","L36904",NA,"","","","",123456,"LIC"
"551","Rinodina terricola","Sheard & K. Knudsen",NA,"pepper-spore lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,"Physciaceae","",NA,"Rinodina","native","unlisted","reported","unobserved","1974-05-30","Willa J. Noble","UBC","L36906",NA,"","","","",532252,"LIC"
"552","Candelaria pacifica","Westberg",NA,"Pacific candleflame","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Candelariomycetidae",NA,"Candelariales",NA,NA,"Candelariaceae","",NA,"Candelaria","native","unlisted","reported","unobserved","2011-05-14","Kent Brothers","VMS","",NA,"","","","",203098,"LIC"
"553","Candelariella vitellina","(Hoffm.) Müll. Arg.",NA,"common goldspeck","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Candelariomycetidae",NA,"Candelariales",NA,NA,"Candelariaceae","",NA,"Candelariella","native","unlisted","new 2017","observed","","","","",NA,"2017-12-31","Andrew Simon","https://www.inaturalist.org/observations/9328883","",182455,"LIC"
"554","Ionaspis lacustris","(With.) Lutzoni",NA,"rusty brook lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Hymeneliales",NA,NA,"Hymeneliaceae","",NA,"Ionaspis","native","unlisted","reported","unobserved","1974-06-01","Willa J. Noble","UBC","L36219",NA,"","","","",222258,"LIC"
"555","Cladonia albonigra","Brodo & Ahti",NA,"blackfoot pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S4 (2010)","new 2015","observed","","","","",NA,"2015-08-28","Andrew Simon","https://www.inaturalist.org/observations/5288435","",194699,"LIC"
"556","Cladonia bacilliformis","(Nyl.) Sarnth.",NA,"yellowhorn pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S3S4 (2019)","new 2017","observed","","","","",NA,"2017-12-31","Andrew Simon","https://www.inaturalist.org/observations/9329152","",217074,"LIC"
"557","Cladonia carneola","(Fr.) Fr.",NA,"crowned pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2017","observed","","","","",NA,"2017-10-29","Kevin Toomer","https://www.inaturalist.org/observations/8604599","",194513,"LIC"
"558","Cladonia cenotea","(Ach.) Schaer.",NA,"powdered funnel lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2016","observed","","","","",NA,"2016-12-22","Andrew Simon","https://www.inaturalist.org/observations/4834210","",180456,"LIC"
"559","Cladonia cf asahinae","J.W. Thomson",NA,"Asahina's pixie-cup","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S4 (2010)","new 2017","observed","","","","",NA,"2017-02-25","Andrew Simon","https://www.inaturalist.org/observations/5197373","",210582,"LIC"
"560","Cladonia chlorophaea","(Flörke ex Sommerf.) Sprengel",NA,"mealy pixie cup","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2015","observed","","","","",NA,"2015-08-28","Andrew Simon","https://www.inaturalist.org/observations/5288560","",1080564,"LIC"
"561","Cladonia coniocraea","(Flörke) Sprengel",NA,"common powderhorn","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2010)","new 2015","observed","","","","",NA,"2015-10-08","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2647302","",155093,"LIC"
"562","Cladonia cornuta","(L.) Hoffm.",NA,"bighorn pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2017","observed","","","","",NA,"2017-05-13","Andrew Simon","https://www.inaturalist.org/observations/39122904","",179035,"LIC"
"563","Cladonia crispata var. crispata","(Ach.) Flot.",NA,"greater organpipe pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2015","observed","","","","",NA,"2015-10-31","Andrew Simon","https://www.inaturalist.org/observations/39123247","",240032,"LIC"
"564","Cladonia fimbriata","(L.) Fr.",NA,"trumpet pixie-cup","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2010)","confirmed","observed","2010-04-17","Kent Brothers","VMS","",NA,"2016-01-24","Andrew Simon","https://www.inaturalist.org/observations/39125193","",179037,"LIC"
"565","Cladonia furcata","(Hudson) Schrader",NA,"many-forked Cladonia","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","confirmed","observed","1964-05-27","Wilfred B. Schofield","UBC","L3008",NA,"2016-01-28","Andrew Simon","https://www.inaturalist.org/observations/39125622","",54607,"LIC"
"566","Cladonia macilenta","Hoffm.",NA,"lipstick powderhorn","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S4 (2010)","confirmed","observed","1974-06-01","Willa J. Noble","UBC","L36212",NA,"2015-03-04","Andrew Simon","http://www.inaturalist.org/observations/2566592","",117950,"LIC"
"567","Cladonia portentosa ssp. pacifica","(Ahti) Ahti",NA,"maritime reindeer lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2010)","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","",NA,"2015-02-12","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2565137","",119666,"LIC"
"568","Cladonia pyxidata","(L.) Hoffm.",NA,"pebbled pixie cup","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","confirmed","observed","1974-06-01","Willa J. Noble","UBC","L36208",NA,"2015-03-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569437","",123894,"LIC"
"569","Cladonia rangiferina","(L.) F. H. Wigg.",NA,"grey reindeer lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","confirmed","observed","1974-04-21","Willa J. Noble","UBC","L35639",NA,"2016-08-26","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3971238","",119778,"LIC"
"570","Cladonia scabriuscula","(Delise) Leight.",NA,"card-carrying Cladonia","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","new 2015","observed","","","","",NA,"2015-03-26","Andrew Simon","http://www.inaturalist.org/observations/2588105","",217148,"LIC"
"571","Cladonia squamosa","Hoffm.",NA,"dragon pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2010)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36175",NA,"2015-03-04","Andrew Simon","http://www.inaturalist.org/observations/2566605","",117963,"LIC"
"572","Cladonia transcendens","(Vain.) Vain.",NA,"graduated pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S4 (2010)","new 2017","observed","","","","",NA,"2017-06-18","Andrew Simon","http://inaturalist.ca/observations/6714894","",179038,"LIC"
"573","Cladonia umbricola","Tønsberg & Ahti",NA,"shadow pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S5 (2018)","confirmed","observed","1977-07-24","Teuvo Ahti & Willa J. Noble","UBC","L37526",NA,"2015-08-28","Andrew Simon","https://www.inaturalist.org/observations/5288444","",194721,"LIC"
"574","Cladonia uncialis","(L.) F. H. Wigg.",NA,"thorn lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","SNR","new 2017","observed","","","","",NA,"2017-04-01","Andrew Simon","https://www.inaturalist.org/observations/5537636","",121208,"LIC"
"575","Cladonia verruculosa","(Vainio) Ahti.",NA,"nittygritty pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","S4 (2010)","confirmed","observed","1963-08-31","Wilfred B. Schofield","UBC","L3352",NA,"2021-05-01","Andrew Simon","https://www.inaturalist.org/observations/83017058","",155194,"LIC"
"576","Cladonia wainioi","Savicz.",NA,"reindeer pixie","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Cladonia","native","SU (2018)","new 2018","observed","","","","",NA,"2018-02-16","Andrew Simon","https://www.inaturalist.org/observations/39121650","",182567,"LIC"
"577","Pilophorus acicularis","(Ach.) Th. Fr.",NA,"devil’s matchsticks","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Cladoniaceae","",NA,"Pilophorus","native","S5 (2018)","confirmed","observed","1974-05-31","Willa J. Noble","UBC","L36172",NA,"2015-03-09","Andrew Simon","http://www.inaturalist.org/observations/2572192","",128919,"LIC"
"578","Lecanora bicincta","Ramond",NA,"rim lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Lecanoraceae","",NA,"Lecanora","native","unlisted","new 2017","observed","","","","",NA,"2017-05-18","Andrew Simon","https://www.inaturalist.org/observations/22641977","",222826,"LIC"
"579","Lecanora campestris","(Schaer.) Hue",NA,"rim lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,"Lecanoraceae","",NA,"Lecanora","native","unlisted","reported","unobserved","1974-05-30","Willa J. Noble","UBC","L35939",NA,"","","","",222833,"LIC"
